elapsed;fitness;solution
51.60s;25306390.45;[8, 0, 10, 2, 3, 4, 14, 15, 16, 17, 9, 19, 4, 5, 22, 23, 24, 25, 19, 27, 80, 20, 21, 22, 32, 33, 34, 26, 20, 28, 29, 30, 40, 80, 80, 34, 35, 36, 46, 47, 48, 33, 50, 42, 52, 37, 45, 55, 80, 57, 58, 50, 60, 61, 53, 54, 80, 56, 57, 58, 68, 69, 70, 62, 56, 57, 58, 68, 80, 68, 78, 63, 80, 72, 73, 74, 75, 76, 77, 71]
94.36s;26139907.76;[80, 0, 1, 2, 3, 13, 14, 15, 16, 17, 11, 3, 20, 12, 22, 23, 24, 16, 17, 18, 80, 20, 21, 22, 32, 33, 25, 26, 20, 37, 29, 39, 40, 80, 33, 34, 35, 36, 46, 47, 48, 33, 50, 42, 52, 37, 54, 55, 80, 57, 58, 50, 51, 61, 53, 63, 80, 56, 57, 67, 59, 60, 70, 71, 80, 64, 65, 66, 80, 68, 69, 70, 80, 72, 73, 74, 75, 76, 70, 71]
77.80s;24587454.67;[8, 0, 1, 2, 12, 13, 14, 15, 16, 17, 11, 19, 20, 12, 22, 23, 24, 25, 19, 27, 80, 20, 21, 22, 32, 33, 34, 26, 36, 37, 29, 39, 40, 80, 33, 43, 44, 45, 46, 47, 48, 33, 50, 42, 43, 53, 54, 55, 80, 57, 58, 59, 60, 52, 62, 63, 80, 56, 57, 67, 59, 69, 61, 62, 80, 57, 64, 66, 80, 68, 78, 79, 80, 72, 73, 74, 75, 76, 77, 78]
105.03s;27872733.59;[80, 0, 1, 2, 3, 4, 5, 6, 0, 80, 9, 10, 20, 12, 22, 23, 8, 25, 10, 18, 80, 20, 21, 22, 16, 33, 27, 19, 20, 21, 29, 39, 24, 80, 33, 34, 28, 45, 46, 47, 48, 33, 50, 35, 43, 44, 54, 46, 33, 57, 49, 50, 60, 61, 62, 63, 80, 56, 66, 58, 59, 69, 70, 71, 56, 80, 65, 66, 80, 68, 69, 79, 80, 72, 73, 74, 75, 76, 77, 78]
64.11s;24751715.57;[8, 2, 3, 11, 3, 13, 14, 15, 16, 17, 11, 19, 20, 12, 22, 23, 24, 25, 26, 27, 80, 20, 21, 22, 32, 33, 27, 80, 20, 37, 29, 39, 40, 41, 26, 43, 35, 36, 46, 47, 48, 40, 50, 42, 52, 44, 45, 46, 80, 80, 49, 50, 60, 61, 53, 63, 49, 80, 57, 58, 59, 69, 54, 71, 65, 80, 65, 66, 67, 68, 62, 79, 80, 72, 73, 74, 75, 76, 77, 78]
63.33s;26597582.7;[80, 0, 1, 2, 3, 4, 14, 15, 0, 8, 9, 10, 20, 5, 22, 23, 24, 25, 17, 11, 80, 20, 21, 22, 32, 24, 34, 26, 20, 28, 29, 39, 40, 80, 33, 34, 35, 36, 37, 38, 48, 33, 35, 51, 52, 44, 54, 55, 80, 80, 49, 50, 60, 61, 53, 63, 49, 49, 57, 58, 68, 69, 54, 71, 65, 57, 58, 66, 80, 68, 62, 79, 80, 72, 73, 74, 75, 76, 77, 78]
76.91s;27779486.26;[80, 0, 1, 11, 3, 4, 14, 15, 0, 80, 9, 10, 20, 5, 22, 23, 8, 9, 17, 18, 80, 20, 21, 22, 16, 33, 27, 19, 20, 28, 29, 39, 24, 80, 33, 34, 35, 36, 46, 47, 33, 33, 43, 51, 52, 37, 45, 55, 40, 57, 51, 59, 60, 61, 53, 54, 64, 65, 57, 67, 68, 69, 70, 62, 80, 64, 80, 66, 80, 68, 78, 63, 80, 72, 73, 74, 75, 76, 77, 71]
76.99s;26711259.61;[8, 0, 1, 2, 12, 13, 14, 15, 16, 17, 18, 10, 20, 12, 22, 23, 24, 25, 26, 18, 80, 20, 21, 22, 32, 33, 34, 26, 36, 28, 29, 39, 40, 41, 33, 36, 44, 45, 46, 38, 48, 80, 49, 42, 80, 44, 45, 49, 80, 80, 49, 59, 60, 52, 55, 47, 49, 58, 66, 67, 59, 53, 54, 55, 65, 57, 80, 66, 76, 68, 78, 63, 73, 80, 73, 74, 75, 69, 77, 71]

avg_time;avg_ans;best;worst
76.08s;26490753.99;24587454.67;28014956.29
