elapsed;gap;fitness;solution
2.18s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 14, 51, 44, 28, 8, 46], [21, 26, 4, 39, 47, 42, 41], [25, 19, 2, 34, 30, 54, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 22, 50, 23, 43], [45, 29, 37, 7, 15, 24, 6, 53]]
1.79s;0.282885%;709;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 14, 44, 51, 28, 8, 46], [25, 19, 2, 34, 30, 54, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [41, 45, 29, 15, 7, 24, 6, 53], [42, 37, 4, 39, 26, 21, 47]]
1.96s;0.424328%;710;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [15, 7, 37, 29, 45, 41], [18, 10, 17, 44, 51, 14, 28, 8, 46], [25, 19, 2, 30, 34, 54, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 22, 50, 23, 43], [47, 21, 26, 39, 4, 42, 24, 6, 53]]
1.32s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 51, 44, 14, 28, 8, 46], [21, 26, 4, 39, 47, 42, 41], [25, 19, 2, 54, 30, 34, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [45, 29, 37, 7, 15, 24, 6, 53]]
1.25s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 44, 51, 14, 28, 8, 46], [21, 26, 4, 39, 47, 42, 45], [25, 19, 2, 30, 54, 34, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 22, 50, 23, 43], [41, 29, 37, 7, 15, 24, 6, 53]]
2.09s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 14, 44, 51, 28, 8, 46], [21, 26, 4, 39, 47, 42, 45], [25, 19, 2, 34, 30, 54, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [41, 29, 37, 7, 15, 24, 6, 53]]
1.33s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 51, 14, 44, 28, 8, 46], [21, 26, 4, 39, 47, 42, 41], [25, 19, 2, 54, 34, 30, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [45, 29, 37, 7, 15, 24, 6, 53]]
1.50s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 8, 17, 51, 44, 14, 28, 46], [21, 26, 4, 39, 47, 42, 41], [25, 19, 2, 34, 54, 30, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [45, 29, 37, 7, 15, 24, 6, 53]]
1.16s;0.282885%;709;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 8, 17, 14, 44, 51, 28, 46], [21, 26, 4, 39, 47, 42, 37, 29], [25, 19, 2, 54, 30, 34, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [41, 45, 7, 15, 24, 6, 53]]
1.22s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 51, 44, 14, 28, 8, 46], [21, 26, 4, 39, 47, 42, 45], [25, 19, 2, 30, 54, 34, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [41, 29, 37, 7, 15, 24, 6, 53]]
1.19s;0.0%;707;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [18, 10, 17, 44, 51, 14, 28, 8, 46], [21, 26, 4, 39, 47, 42, 41], [25, 19, 2, 34, 54, 30, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 22, 50, 23, 43], [45, 29, 37, 7, 15, 24, 6, 53]]
1.54s;0.990099%;714;[[1, 52, 16, 35, 27], [3, 13, 33, 49, 32, 36, 48], [11, 55, 20, 31, 54, 34, 30, 2, 19, 25], [18, 10, 17, 14, 44, 51, 28, 8, 46], [40, 5, 12, 9, 38, 22, 50, 23, 43], [41, 29, 37, 7, 15, 24, 6, 53], [45, 42, 4, 39, 26, 21, 47]]
1.45s;0.565771%;711;[[1, 52, 16, 35, 27], [3, 13, 49, 32, 36, 48], [15, 7, 4, 39, 26, 21, 47], [18, 10, 8, 17, 51, 14, 44, 28, 46], [25, 19, 2, 54, 30, 34, 31, 20, 55, 11, 33], [40, 5, 12, 9, 38, 50, 22, 23, 43], [41, 45, 42, 29, 37, 24, 6, 53]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
1.47s;708.13;707;714;0.160302%;0.0%;0.990099%
