elapsed;gap;fitness;solution
0.87s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.35s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.23s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.22s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.17s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.16s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.16s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.17s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.17s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.13s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.13s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.14s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.14s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.14s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.14s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.13s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.14s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.13s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.14s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.14s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.13s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.13s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.14s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.12s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.13s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.12s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.13s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.13s;-2.15589%;590;[[4, 3, 8, 10], [5, 9], [6, 1, 2, 7], [11, 13], [12], [14, 20, 21], [15, 18, 17], [16], [19]]
0.12s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]
0.13s;-2.15589%;590;[[4, 3, 8, 10], [5, 7], [6, 1, 2, 9], [11, 13], [12], [14, 21, 20], [15, 18, 17], [16], [19]]

NEW OPTIMUM: 590avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
0.18s;590.00;590;590;-2.15589%;-2.15589%;-2.15589%
