elapsed;gap;fitness;solution
1.90s;0.266312%;753;[[1, 37, 32, 15, 2, 13, 28], [9, 44, 7, 34, 27, 14, 18, 17, 30], [10, 3, 31, 38, 20, 35, 24, 36, 23], [11, 25, 26, 19, 33, 29, 16, 4, 43], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.90s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [4, 33, 19, 26, 25, 11, 29, 16, 43], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 23, 30], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.88s;0.133156%;752;[[1, 37, 32, 15, 2, 13, 28], [9, 44, 7, 34, 27, 14, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [25, 11, 26, 19, 33, 29, 16, 4, 43], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.77s;0.532623%;755;[[1, 37, 32, 15, 2, 13, 28], [4, 16, 29, 11, 19, 33, 26, 25], [5, 41, 22, 43, 8, 21, 12, 6, 40, 42], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 23, 30], [39]]
0.80s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [9, 7, 34, 27, 14, 44, 18, 36], [11, 25, 26, 19, 33, 29, 16, 4, 43], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.66s;0.266312%;753;[[9, 7, 34, 27, 14, 44, 18, 1, 30, 17], [10, 3, 31, 38, 20, 35, 24, 36, 23], [16, 29, 11, 25, 26, 19, 33, 4, 43], [28, 13, 2, 15, 32, 37], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.78s;0.133156%;752;[[1, 37, 32, 15, 2, 13, 28], [9, 44, 7, 34, 27, 14, 18, 36], [16, 29, 11, 25, 26, 19, 33, 4, 43], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
1.31s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [29, 11, 25, 26, 19, 33, 16, 4, 43], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.72s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [25, 26, 19, 33, 11, 29, 16, 4, 43], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.73s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [9, 7, 34, 27, 14, 44, 18, 36], [11, 25, 26, 33, 19, 29, 16, 4, 43], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.67s;0.266312%;753;[[1, 37, 32, 15, 2, 13, 28], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [22, 8, 4, 29, 16, 33, 19, 26, 11, 25], [39, 5, 41, 43, 21, 12, 6, 40, 42]]
1.02s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [4, 33, 19, 26, 25, 11, 29, 16, 43], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.89s;0.133156%;752;[[1, 37, 32, 15, 2, 13, 28], [4, 29, 11, 25, 26, 33, 19, 16, 43], [9, 44, 7, 34, 27, 14, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.65s;0.399467%;754;[[1, 7, 34, 27, 24, 35, 20, 38, 31, 3, 10], [9, 44, 14, 18, 36, 23, 30, 17], [25, 26, 33, 19, 11, 29, 16, 4, 43], [28, 13, 2, 15, 32, 37], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.84s;0.133156%;752;[[1, 37, 32, 15, 2, 13, 28], [9, 44, 7, 34, 27, 14, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [25, 26, 19, 33, 11, 29, 16, 4, 43], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.71s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [4, 29, 11, 25, 26, 19, 33, 16, 43], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.72s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [4, 16, 33, 19, 26, 25, 11, 29, 43], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.66s;0.133156%;752;[[1, 37, 32, 15, 2, 13, 28], [9, 44, 7, 34, 27, 14, 18, 36], [11, 25, 26, 19, 33, 16, 29, 4, 43], [20, 35, 38, 31, 3, 24, 10, 17, 23, 30], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.65s;0.399467%;754;[[1, 37, 32, 15, 2, 13, 28], [9, 44, 7, 34, 27, 14, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [22, 8, 4, 29, 16, 19, 33, 26, 11, 25], [39, 5, 41, 43, 21, 12, 6, 40, 42]]
0.71s;0.399467%;754;[[9, 7, 34, 27, 14, 44, 1, 30, 17], [10, 3, 31, 38, 20, 35, 24, 18, 36, 23], [11, 25, 26, 19, 33, 16, 29, 4, 43], [28, 13, 2, 15, 32, 37], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.62s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [3, 31, 38, 20, 35, 24, 10, 17, 30, 23], [4, 16, 33, 19, 26, 25, 11, 29, 43], [9, 7, 34, 27, 14, 44, 18, 36], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.74s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [25, 26, 19, 33, 11, 29, 16, 4, 43], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
1.04s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [9, 7, 34, 27, 14, 44, 18, 36], [11, 25, 26, 33, 19, 29, 16, 4, 43], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.76s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [9, 7, 34, 27, 14, 44, 18, 36], [16, 29, 11, 25, 26, 19, 33, 4, 43], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
1.16s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [4, 16, 19, 33, 26, 25, 11, 29, 43], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.69s;0.133156%;752;[[1, 37, 32, 15, 2, 13, 28], [3, 31, 38, 20, 35, 24, 10, 17, 30, 23], [9, 44, 7, 34, 27, 14, 18, 36], [16, 29, 11, 25, 26, 19, 33, 4, 43], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.88s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [4, 33, 19, 26, 25, 11, 29, 16, 43], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.67s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [3, 31, 38, 20, 35, 24, 10, 17, 30, 23], [9, 7, 34, 27, 14, 44, 18, 36], [25, 26, 19, 33, 11, 29, 16, 4, 43], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.78s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [25, 26, 33, 19, 11, 29, 16, 4, 43], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]
0.68s;0.0%;751;[[1, 37, 32, 15, 2, 13, 28], [9, 7, 34, 27, 14, 44, 18, 36], [20, 35, 38, 31, 3, 24, 10, 17, 30, 23], [25, 26, 19, 33, 11, 29, 16, 4, 43], [39, 5, 41, 22, 8, 21, 12, 6, 40, 42]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
0.83s;751.83;751;755;0.110963%;0.0%;0.532623%
