elapsed;gap;fitness;solution
3.72s;2.32558%;1804;[[1, 7, 21, 40], [10, 11, 34, 2, 37, 8, 43, 16, 68, 78, 29], [12, 44, 5, 59, 27, 31, 17, 74], [13, 3, 39, 60, 77, 51, 42], [14, 48, 18, 79, 28, 52, 71], [20, 61, 57, 75, 25, 41, 46], [36, 67, 66, 70, 72, 76, 58, 38], [49, 32, 4, 22, 45, 50, 73], [53, 54, 9, 55, 56, 69, 65, 35, 26, 19, 47, 15, 33, 64], [62, 23, 30, 6, 24, 63]]
3.45s;1.92853%;1797;[[1, 7, 21, 40], [3, 60, 17, 29, 74, 13], [10, 71, 28, 79, 18, 48, 14], [12, 44, 5, 6, 24, 23, 62], [27, 59, 19, 26, 35, 65, 69, 56, 47, 41, 25, 46], [30, 78, 68, 43, 16, 61, 57, 75, 20, 31], [38, 58, 32, 4, 22, 45], [42, 53, 70, 66, 67, 36, 73, 49], [50, 76, 72, 54, 9, 55, 15, 33, 64, 39, 77, 51], [52, 2, 37, 8, 34, 11, 63]]
3.41s;2.21214%;1802;[[1, 7, 21, 40], [3, 39, 60, 31, 17, 74], [10, 71, 28, 79, 18, 48, 14], [13, 12, 44, 5, 23, 11, 63], [20, 75, 57, 26, 35, 65, 69, 56, 47, 19, 25, 64], [29, 27, 59, 30, 6, 24, 62], [32, 4, 22, 45, 50, 72, 76, 67], [38, 58, 54, 9, 55, 33, 15, 41, 46], [42, 51, 77, 53, 70, 66, 36, 73, 49], [52, 34, 2, 37, 8, 68, 43, 16, 61, 78]]
3.16s;2.32558%;1804;[[1, 7, 21, 40], [2, 37, 8, 43, 16, 61, 68, 78, 30], [3, 39, 60, 29, 74, 13], [10, 71, 28, 79, 18, 48, 14], [17, 31, 27, 59, 5, 44, 12, 62], [20, 75, 57, 19, 47, 26, 35, 65, 69, 56, 15, 33, 64, 77, 51], [23, 6, 24, 34, 52, 11, 63], [32, 4, 22, 45, 50, 76, 53], [36, 66, 67, 70, 58, 38, 73, 49], [42, 46, 25, 41, 55, 9, 54, 72]]
3.21s;2.32558%;1804;[[1, 7, 21, 40], [3, 39, 60, 31, 17, 74], [10, 71, 28, 79, 18, 48, 14], [11, 24, 6, 30, 59, 27, 29], [12, 44, 5, 23, 62, 63], [13, 42, 51, 53, 66, 36, 73, 49], [20, 75, 57, 19, 25, 41, 46, 64, 77], [32, 4, 22, 45, 50, 72, 76, 70, 67], [33, 15, 47, 26, 35, 65, 69, 56, 55, 9, 54, 58, 38], [52, 34, 2, 37, 8, 68, 43, 16, 61, 78]]
3.24s;2.55247%;1808;[[1, 7, 21, 40], [2, 37, 8, 68, 43, 16, 61, 78, 30], [3, 39, 60, 29, 74, 13], [10, 63, 11, 34, 24, 6, 23], [17, 31, 27, 59, 5, 44, 12, 62], [20, 75, 57, 19, 25, 41, 46, 51], [38, 58, 32, 4, 22, 45], [42, 77, 53, 70, 66, 67, 36, 73, 49], [50, 76, 72, 54, 9, 55, 56, 69, 65, 35, 26, 47, 15, 33, 64], [52, 28, 79, 18, 48, 14, 71]]
5.16s;2.3823%;1805;[[1, 7, 10, 21, 40], [3, 39, 60, 74, 13], [5, 78, 61, 16, 43, 68, 8, 37, 2, 34], [12, 44, 23, 11, 63, 62], [20, 75, 57, 19, 26, 35, 65, 69, 56, 47, 25, 64], [24, 6, 30, 59, 27, 31, 17, 29], [38, 58, 32, 4, 22, 45], [42, 51, 77, 53, 70, 67, 66, 36, 73, 49], [46, 41, 15, 33, 55, 9, 54, 72, 76, 50], [52, 28, 79, 18, 48, 14, 71]]
3.47s;2.49575%;1807;[[1, 7, 21, 40], [3, 39, 60, 31, 17, 74], [10, 11, 34, 2, 37, 8, 6, 24], [13, 64, 33, 15, 55, 9, 54, 72, 76, 50, 49], [20, 75, 19, 26, 35, 65, 69, 56, 47, 41, 25, 46], [27, 59, 57, 61, 16, 43, 68, 78, 30], [29, 5, 44, 12, 23, 62, 63], [38, 58, 32, 4, 22, 45], [42, 51, 77, 53, 70, 66, 67, 36, 73], [52, 28, 79, 18, 48, 14, 71]]
5.66s;1.87181%;1796;[[10, 71, 28, 79, 18, 48, 14], [13, 1, 7, 21, 40], [17, 31, 46, 25, 41, 15, 55, 9, 54], [23, 30, 6, 24, 11, 63], [29, 20, 75, 57, 19, 26, 35, 65, 69, 56, 47, 33, 64], [42, 51, 77, 3, 60, 39, 53], [49, 38, 58, 70, 66, 67, 36, 73], [50, 32, 4, 22, 45, 72, 76], [52, 34, 2, 37, 8, 68, 43, 16, 61, 78], [62, 12, 44, 5, 59, 27, 74]]
3.43s;1.87181%;1796;[[1, 7, 21, 40], [3, 74, 17, 31, 60, 39, 77], [5, 78, 61, 16, 43, 68, 8, 37, 2, 34], [10, 71, 63, 62, 23, 44, 12], [11, 52, 28, 79, 18, 48, 14], [13, 29, 27, 59, 30, 6, 24], [20, 75, 57, 26, 35, 65, 69, 56, 47, 19, 25, 64], [38, 58, 32, 4, 22, 45], [42, 51, 53, 70, 66, 67, 36, 73, 49], [46, 41, 15, 33, 55, 9, 54, 72, 76, 50]]
