elapsed;fitness;solution
3.05s;1159;[[2, 6, 28, 3, 11, 43, 41, 27], [5, 19, 36, 29, 31, 14], [8, 38, 15, 1, 37, 30, 22], [9, 10, 42, 25, 23, 17, 13], [12, 4, 26, 34, 35], [18, 16, 20, 7, 40], [32, 33, 44, 24, 21, 39]]
6.91s;1147;[[2, 6, 28, 3, 11, 43, 41, 27], [8, 10, 15, 25, 23, 17, 38, 13], [9, 5, 36, 19, 29, 31], [12, 4, 26, 34, 35], [14, 33, 44, 24, 21, 39], [18, 7, 16, 20, 40], [22, 30, 37, 1, 42, 32]]
3.67s;1156;[[2, 6, 28, 3, 11, 43, 41, 27, 21], [4, 44, 33, 24], [5, 19, 36, 29, 31, 14], [8, 17, 25, 42, 15, 10, 9], [12, 26, 34, 35, 39], [22, 30, 37, 1, 23, 38], [32, 13, 18, 7, 16, 20, 40]]
6.48s;1159;[[2, 6, 28, 3, 11, 43, 41, 27, 21], [5, 36, 19, 29, 31, 14], [8, 17, 23, 42, 15, 10], [9, 22, 30, 37, 1, 25, 38], [12, 4, 26, 34], [24, 44, 33, 39, 35], [32, 13, 18, 7, 16, 20, 40]]
10.64s;1148;[[2, 6, 28, 3, 11, 43, 41, 27, 21], [8, 42, 1, 37, 30, 22, 9], [10, 15, 25, 23, 17, 38, 13], [12, 4, 26, 34, 35], [18, 16, 20, 7, 40], [24, 44, 33, 14, 39], [31, 29, 19, 36, 5, 32]]
2.74s;1162;[[2, 6, 28, 3, 11, 43, 41, 27], [9, 5, 30, 37, 1, 42, 8, 32], [10, 15, 25, 23, 17, 38, 13], [12, 4, 21, 34, 39, 35], [14, 33, 44, 24, 26], [18, 7, 16, 20, 40], [22, 19, 36, 29, 31]]
9.39s;1157;[[2, 6, 28, 3, 11, 43, 41, 27], [8, 42, 1, 37, 30, 5, 22], [10, 15, 25, 23, 17, 38, 13], [12, 4, 21, 34, 35, 39], [18, 7, 16, 20, 40], [26, 24, 44, 14, 9, 32], [31, 19, 36, 29, 33]]
2.49s;1147;[[2, 6, 28, 3, 11, 43, 41, 27], [8, 42, 1, 37, 30, 22, 9], [10, 15, 25, 23, 17, 38, 13], [12, 4, 26, 35, 39], [14, 33, 44, 24, 21, 34], [18, 7, 16, 20, 40], [31, 29, 36, 19, 5, 32]]
9.58s;1153;[[4, 24, 44, 33, 21], [5, 19, 36, 29, 31, 14], [6, 28, 3, 11, 43, 41, 27], [8, 42, 1, 37, 30, 22, 9], [10, 15, 25, 23, 17, 38], [12, 2, 26, 34, 39, 35], [32, 13, 18, 7, 16, 20, 40]]
4.23s;1160;[[2, 6, 28, 43, 41, 27, 33, 14], [4, 26, 34, 39, 35], [9, 5, 19, 36, 29, 31], [12, 3, 11, 44, 24, 21], [13, 8, 23, 1, 37, 30, 22], [18, 7, 16, 20, 40], [32, 10, 15, 42, 25, 17, 38]]
7.66s;1150;[[2, 4, 26, 34, 39, 35], [6, 11, 43, 41, 27, 33, 14], [8, 42, 1, 37, 30, 22, 9], [10, 15, 25, 23, 17, 38, 13], [12, 28, 3, 44, 24, 21], [18, 16, 20, 7, 40], [31, 29, 19, 36, 5, 32]]
