elapsed;fitness;solution
15.26s;1184;[[5, 32, 20, 58, 40, 53], [15, 22, 9, 14, 27, 43], [17, 51, 39, 7, 63, 11, 54, 48, 57], [18, 19, 24, 52, 8, 10, 21, 55], [29, 25, 56, 59, 44], [30, 37, 35, 36, 3, 4, 49], [33, 13, 12, 1, 23, 28, 62], [45, 61, 42, 38, 2, 41, 16, 50, 60], [46, 64, 6, 26, 31, 34, 47]]
18.19s;1180;[[5, 45, 16, 50, 60, 30, 37], [7, 11, 63, 54, 48, 57, 23, 28], [15, 27, 14, 3, 36, 35, 4, 49], [17, 31, 26, 6, 64, 46, 39], [21, 44, 56, 59, 53], [29, 18, 19, 24, 52, 8, 10, 40], [32, 20, 58, 61, 42, 38, 2, 41], [43, 22, 9, 34, 47, 51], [55, 25, 13, 12, 1, 33, 62]]
25.86s;1177;[[5, 45, 16, 50, 60, 30, 37], [7, 63, 11, 54, 48, 57, 23, 28], [15, 27, 14, 3, 36, 35, 4, 49], [17, 31, 26, 6, 64, 46, 39], [18, 19, 24, 52, 8, 10, 40, 59], [21, 25, 56, 44, 53], [32, 20, 58, 61, 42, 38, 2, 41], [43, 22, 9, 34, 47, 51], [55, 29, 13, 12, 1, 33, 62]]
33.33s;1180;[[5, 45, 16, 50, 60, 30, 37], [7, 11, 63, 54, 48, 57, 23, 28], [15, 27, 14, 3, 36, 35, 4, 49], [17, 31, 26, 6, 64, 46, 39], [21, 56, 44, 59, 53], [29, 18, 19, 24, 52, 8, 10, 40], [32, 20, 58, 61, 42, 38, 2, 41], [43, 22, 9, 34, 47, 51], [55, 25, 13, 12, 1, 33, 62]]
6.58s;1179;[[5, 45, 2, 38, 42, 61, 58, 20, 32], [7, 11, 63, 54, 48, 57, 23, 28], [15, 27, 14, 3, 36, 35, 4, 49], [17, 31, 26, 6, 64, 46, 39], [18, 19, 24, 52, 8, 10, 40, 59], [21, 25, 56, 44, 53], [30, 37, 50, 16, 41, 60], [43, 22, 9, 34, 47, 51], [55, 29, 13, 12, 1, 33, 62]]
8.82s;1185;[[5, 32, 20, 58, 40, 53], [7, 11, 63, 57, 48, 54, 39, 51, 17], [15, 22, 9, 14, 27, 43], [18, 19, 24, 52, 8, 10, 21, 55], [29, 25, 44, 59, 56], [30, 37, 35, 36, 3, 4, 49], [33, 1, 13, 12, 23, 28, 62], [45, 61, 42, 38, 2, 41, 16, 50, 60], [46, 64, 6, 26, 31, 34, 47]]
20.45s;1177;[[5, 45, 16, 50, 60, 30, 37], [7, 63, 11, 54, 48, 57, 23, 28], [15, 27, 14, 3, 36, 35, 4, 49], [17, 31, 26, 6, 64, 46, 39], [18, 19, 24, 52, 8, 10, 40, 59], [21, 25, 44, 56, 53], [32, 20, 58, 61, 42, 38, 2, 41], [43, 22, 9, 34, 47, 51], [55, 29, 13, 12, 1, 33, 62]]
11.49s;1184;[[5, 32, 20, 58, 40, 53], [15, 22, 9, 14, 27, 43], [17, 51, 39, 7, 63, 11, 54, 48, 57], [18, 19, 24, 52, 10, 8, 21, 55], [29, 25, 59, 56, 44], [30, 37, 35, 36, 3, 4, 49], [33, 13, 12, 1, 23, 28, 62], [45, 61, 42, 38, 2, 41, 16, 50, 60], [46, 64, 6, 26, 31, 34, 47]]
17.95s;1178;[[5, 53, 25, 21, 55, 29], [7, 11, 63, 57, 48, 54, 39, 51, 17], [15, 22, 9, 14, 27, 43], [18, 19, 24, 52, 8, 10, 56], [30, 37, 35, 36, 3, 4, 49], [32, 20, 58, 40, 59, 44], [33, 13, 12, 1, 23, 28, 62], [45, 61, 42, 38, 2, 41, 16, 50, 60], [46, 64, 6, 26, 31, 34, 47]]
11.16s;1184;[[5, 32, 20, 58, 40, 53], [15, 22, 9, 14, 27, 43], [17, 51, 39, 7, 11, 63, 54, 48, 57], [18, 19, 24, 52, 8, 10, 21, 55], [29, 25, 56, 59, 44], [30, 37, 35, 36, 3, 4, 49], [33, 13, 12, 1, 23, 28, 62], [45, 61, 42, 38, 2, 41, 16, 50, 60], [46, 64, 6, 26, 31, 34, 47]]
15.42s;1178;[[5, 45, 16, 50, 60, 30, 37], [7, 63, 11, 54, 48, 57, 23, 28], [15, 27, 14, 3, 36, 35, 4, 49], [17, 34, 9, 22, 43], [18, 19, 24, 52, 8, 10, 40, 59], [21, 25, 44, 56, 53], [32, 20, 58, 61, 42, 38, 2, 41], [47, 31, 26, 6, 64, 46, 39, 51], [55, 29, 13, 12, 1, 33, 62]]
6.93s;1184;[[5, 45, 16, 50, 60, 30, 37], [7, 11, 63, 54, 48, 57, 23, 28], [15, 14, 22, 9, 47, 17], [18, 19, 24, 52, 8, 10, 40, 59], [21, 25, 44, 56, 53], [32, 20, 58, 61, 42, 38, 2, 41], [34, 31, 26, 6, 64, 46, 39, 51], [43, 27, 3, 36, 35, 4, 49], [55, 29, 13, 12, 1, 33, 62]]
25.29s;1180;[[5, 45, 16, 50, 60, 30, 37], [7, 11, 63, 54, 48, 57, 23, 28], [15, 27, 14, 3, 36, 35, 4, 49], [17, 31, 26, 6, 64, 46, 39], [21, 56, 44, 59, 53], [29, 18, 19, 24, 52, 8, 10, 40], [32, 20, 58, 61, 42, 38, 2, 41], [43, 22, 9, 34, 47, 51], [55, 25, 13, 12, 1, 33, 62]]
7.08s;1184;[[5, 32, 20, 58, 40, 53], [7, 63, 11, 57, 48, 54, 39, 51, 17], [15, 22, 9, 14, 27, 43], [18, 19, 24, 52, 10, 8, 21, 55], [29, 25, 44, 56, 59], [30, 37, 35, 36, 3, 4, 49], [33, 13, 12, 1, 23, 28, 62], [45, 61, 42, 38, 2, 41, 16, 50, 60], [46, 64, 6, 26, 31, 34, 47]]
12.98s;1184;[[5, 32, 20, 58, 40, 53], [7, 11, 63, 57, 48, 54, 39, 51, 17], [15, 22, 9, 14, 27, 43], [18, 19, 24, 52, 8, 10, 21, 55], [29, 25, 59, 56, 44], [30, 37, 35, 36, 3, 4, 49], [33, 13, 12, 1, 23, 28, 62], [45, 61, 42, 38, 2, 41, 16, 50, 60], [46, 64, 6, 26, 31, 34, 47]]
