elapsed;fitness;solution
37.92s;747;[[1, 28, 31, 26, 8, 27], [5, 49, 30, 39, 10], [6, 14, 25], [11, 16, 2, 32], [12, 46], [13, 41, 40, 19, 42], [17, 44, 45, 33, 15, 37], [18, 4, 47], [20, 35, 36, 3, 22], [24, 43, 7, 23, 48], [29, 21, 34, 50, 9, 38]]
37.36s;747;[[1, 28, 31, 26, 8, 27], [4, 17, 44, 45, 33, 15, 37], [6, 14, 25], [10, 39, 30, 34, 21, 29], [11, 16, 2, 32], [12], [13, 41, 19, 40, 42], [18, 47], [20, 35, 36, 3, 22], [24, 43, 7, 23, 48], [38, 50, 9, 49, 5, 46]]
37.37s;748;[[1, 28, 31, 26, 8, 48], [4, 41, 40, 19, 42, 17, 37], [6, 23, 7, 43, 24], [9, 30, 49, 5, 46], [10, 39, 33, 45, 15, 44], [11, 2, 32, 27], [12], [13, 25, 14], [16, 29, 21, 34, 50, 38], [18, 47], [20, 35, 36, 3, 22]]
37.28s;746;[[1, 28, 31, 26, 8, 27], [4, 17, 44, 45, 33, 15, 37], [5, 49, 38, 11, 46], [6, 14, 25], [9, 50, 21, 29, 2, 32], [10, 39, 30, 34, 16], [12], [13, 41, 40, 19, 42], [18, 47], [20, 35, 36, 3, 22], [24, 43, 7, 23, 48]]
37.26s;747;[[1, 28, 31, 26, 8, 27], [5, 49, 30, 39, 10], [6, 14, 25], [11, 16, 2, 32], [12], [13, 41, 19, 40, 42], [17, 44, 45, 33, 15, 37, 46], [18, 4, 47], [20, 35, 36, 3, 22], [24, 43, 7, 23, 48], [29, 21, 34, 50, 9, 38]]
37.23s;747;[[1, 28, 31, 26, 8, 27], [4, 17, 44, 45, 33, 15, 37], [5, 10, 39, 30, 49], [6, 14, 25], [11, 16, 2, 32], [12, 46], [13, 41, 19, 40, 42], [18, 47], [20, 35, 36, 3, 22], [24, 43, 7, 23, 48], [29, 21, 34, 50, 9, 38]]
37.15s;748;[[1, 22, 28, 31, 26, 8], [2, 29, 21, 16, 11], [3, 36, 35, 20, 32], [5, 49, 9, 38, 46], [10, 39, 30, 34, 50], [12], [13, 41, 19, 40, 42], [17, 44, 45, 33, 15, 37], [18, 4, 47], [24, 43, 7, 23, 48], [25, 14, 6, 27]]
37.27s;747;[[1, 28, 31, 26, 8, 27], [5, 10, 39, 30, 49], [6, 14, 25], [11, 16, 2, 32], [12], [13, 41, 40, 19, 42], [17, 44, 45, 33, 15, 37], [18, 4, 47], [22, 3, 36, 35, 20, 46], [24, 43, 7, 23, 48], [29, 21, 34, 50, 9, 38]]
37.11s;747;[[1, 28, 31, 26, 8, 27], [4, 17, 44, 45, 33, 15, 37], [5, 49, 30, 39, 10], [6, 14, 25], [11, 16, 2, 32], [12, 46], [13, 41, 19, 40, 42], [18, 47], [20, 35, 36, 3, 22], [24, 43, 7, 23, 48], [29, 21, 34, 50, 9, 38]]
37.18s;747;[[1, 28, 31, 26, 8, 27], [4, 17, 44, 45, 33, 15, 37], [5, 49, 9, 50, 38, 46], [6, 14, 25], [10, 39, 30, 34, 21, 29], [11, 16, 2, 32], [12], [13, 41, 40, 19, 42], [18, 47], [20, 35, 36, 3, 22], [24, 43, 7, 23, 48]]
