elapsed;gap;fitness;solution
1.70s;0.0%;799;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 6, 3, 4, 19, 31, 12], [10, 7, 26], [15, 8, 35, 2, 23, 34, 14, 28], [16, 11, 24, 27, 25, 5, 20]]
0.92s;1.00125%;807;[[1, 13, 17, 30, 29, 33, 31, 19, 4, 3, 6, 23], [5, 9, 28, 12, 25], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24, 16], [15, 8, 35, 2, 34, 14, 20]]
0.59s;1.75219%;813;[[5, 9, 14, 28, 12, 11], [6, 3, 4, 19, 31, 33, 29, 30, 17, 13, 1, 16], [10, 7, 26], [15, 8, 35, 2, 23, 34, 20], [24, 21, 22, 32, 18, 27, 25]]
1.04s;0.0%;799;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 6, 3, 4, 19, 31, 12], [10, 7, 26], [15, 8, 35, 2, 23, 34, 14, 28], [16, 11, 24, 27, 25, 5, 20]]
0.97s;1.00125%;807;[[1, 13, 17, 30, 29, 33, 31, 19, 4, 3, 6, 23], [5, 9, 28, 12, 25], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24, 16], [15, 8, 35, 2, 34, 14, 20]]
0.44s;0.0%;799;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 6, 3, 4, 19, 31, 12], [10, 7, 26], [15, 8, 35, 2, 23, 34, 14, 28], [16, 11, 24, 27, 25, 5, 20]]
0.64s;1.62703%;812;[[5, 20, 9, 12, 25], [6, 3, 4, 19, 31, 33, 29, 30, 17, 13, 1, 16], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24], [15, 8, 35, 2, 23, 34, 14, 28]]
0.58s;1.00125%;807;[[1, 13, 17, 30, 29, 33, 31, 19, 4, 3, 6, 23], [5, 9, 28, 12, 25], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24, 16], [15, 8, 35, 2, 34, 14, 20]]
1.13s;1.00125%;807;[[1, 13, 17, 30, 29, 33, 31, 19, 4, 3, 6, 23], [5, 9, 28, 12, 25], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24, 16], [15, 8, 35, 2, 34, 14, 20]]
0.93s;1.75219%;813;[[5, 9, 14, 28, 12, 11], [6, 3, 4, 19, 31, 33, 29, 30, 17, 13, 1, 16], [10, 7, 26], [15, 8, 35, 2, 23, 34, 20], [24, 21, 22, 32, 18, 27, 25]]
1.23s;0.0%;799;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 6, 3, 4, 19, 31, 12], [10, 7, 26], [15, 8, 35, 2, 23, 34, 14, 28], [16, 11, 24, 27, 25, 5, 20]]
0.62s;0.0%;799;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 6, 3, 4, 19, 31, 12], [10, 7, 26], [15, 8, 35, 2, 23, 34, 14, 28], [16, 11, 24, 27, 25, 5, 20]]
0.47s;1.00125%;807;[[9, 6, 3, 4, 19, 31, 12], [10, 7, 26], [11, 24, 21, 25, 5, 20], [15, 8, 35, 2, 23, 34, 14, 28], [16, 1, 22, 32, 13, 17, 30, 29, 33, 18, 27]]
0.52s;1.00125%;807;[[1, 13, 17, 30, 29, 33, 31, 19, 4, 3, 6, 23], [5, 9, 28, 12, 25], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24, 16], [15, 8, 35, 2, 34, 14, 20]]
0.86s;0.876095%;806;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 28, 34, 2, 35, 8, 15], [10, 7, 26], [12, 31, 19, 4, 3, 6, 23, 14], [16, 11, 24, 27, 25, 5, 20]]
0.78s;1.62703%;812;[[5, 20, 9, 12, 25], [6, 3, 4, 19, 31, 33, 29, 30, 17, 13, 1, 16], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24], [15, 8, 35, 2, 23, 34, 14, 28]]
1.39s;1.00125%;807;[[9, 6, 3, 4, 19, 31, 12], [10, 7, 26], [11, 24, 21, 25, 5, 20], [15, 8, 35, 2, 23, 34, 14, 28], [16, 1, 22, 32, 13, 17, 30, 29, 33, 18, 27]]
0.82s;0.0%;799;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 6, 3, 4, 19, 31, 12], [10, 7, 26], [15, 8, 35, 2, 23, 34, 14, 28], [16, 11, 24, 27, 25, 5, 20]]
0.58s;1.00125%;807;[[1, 13, 17, 30, 29, 33, 31, 19, 4, 3, 6, 23], [5, 9, 28, 12, 25], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24, 16], [15, 8, 35, 2, 34, 14, 20]]
1.07s;0.0%;799;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 6, 3, 4, 19, 31, 12], [10, 7, 26], [15, 8, 35, 2, 23, 34, 14, 28], [16, 11, 24, 27, 25, 5, 20]]
1.09s;1.00125%;807;[[1, 13, 17, 30, 29, 33, 31, 19, 4, 3, 6, 23], [5, 9, 28, 12, 25], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24, 16], [15, 8, 35, 2, 34, 14, 20]]
0.67s;1.62703%;812;[[7, 10], [11, 25, 9, 5, 20, 26], [12, 6, 3, 4, 19, 31, 29, 33, 27], [15, 8, 35, 2, 23, 34, 14, 28], [16, 1, 22, 32, 13, 17, 30, 18, 21, 24]]
0.99s;0.750939%;805;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 14, 34, 2, 35, 8, 15], [10, 7, 26], [12, 31, 19, 4, 3, 6, 23, 28], [16, 11, 24, 27, 25, 5, 20]]
0.71s;0.750939%;805;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 14, 34, 2, 35, 8, 15], [10, 7, 26], [12, 31, 19, 4, 3, 6, 23, 28], [16, 11, 24, 27, 25, 5, 20]]
0.77s;1.00125%;807;[[1, 13, 17, 30, 29, 33, 31, 19, 4, 3, 6, 23], [5, 9, 28, 12, 25], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24, 16], [15, 8, 35, 2, 34, 14, 20]]
0.59s;1.00125%;807;[[1, 13, 17, 30, 29, 33, 31, 19, 4, 3, 6, 23], [5, 9, 28, 12, 25], [10, 7, 26], [11, 27, 18, 32, 22, 21, 24, 16], [15, 8, 35, 2, 34, 14, 20]]
0.87s;0.876095%;806;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 28, 34, 2, 35, 8, 15], [10, 7, 26], [12, 31, 19, 4, 3, 6, 23, 14], [16, 11, 24, 27, 25, 5, 20]]
1.29s;0.0%;799;[[1, 22, 32, 13, 17, 30, 29, 33, 18, 21], [9, 6, 3, 4, 19, 31, 12], [10, 7, 26], [15, 8, 35, 2, 23, 34, 14, 28], [16, 11, 24, 27, 25, 5, 20]]
0.51s;1.62703%;812;[[5, 9, 28, 6, 3, 12], [10, 7, 26], [11, 24, 21, 22, 18, 27, 25], [15, 8, 35, 2, 34, 14, 20], [16, 1, 32, 13, 17, 30, 29, 33, 31, 19, 4, 23]]
0.70s;1.75219%;813;[[5, 9, 14, 28, 12, 11], [6, 3, 4, 19, 31, 33, 29, 30, 17, 13, 1, 16], [10, 7, 26], [15, 8, 35, 2, 23, 34, 20], [24, 21, 22, 32, 18, 27, 25]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
0.85s;805.93;799;813;0.867751%;0.0%;1.75219%
