elapsed;gap;fitness;solution
4.43s;0.720461%;699;[[1, 23, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [3, 44, 50, 18, 24, 49, 16], [4, 27, 13, 54, 19, 35, 7], [6, 33, 51], [12, 39, 9, 40, 17], [26, 10, 31, 25, 32], [29, 5, 36, 37, 20, 15, 45], [34, 52, 8, 46], [38, 11, 14, 53]]
5.39s;0.576369%;698;[[1, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [4, 46], [6, 33, 23, 24, 49, 16, 51], [7, 53, 11, 14, 35], [8, 19, 54, 13, 27, 52, 34], [9, 25, 18, 50, 32], [12, 40, 44, 3, 17], [26, 38, 10, 31, 39], [29, 5, 36, 37, 20, 15, 45]]
3.91s;1.00865%;701;[[1, 43, 42, 41, 23, 16, 51], [2, 28, 22, 33, 6], [4, 27, 13, 54, 19, 35, 7], [9, 25, 50, 18, 24, 49], [12, 39, 31, 10, 26], [15, 20, 37, 36, 47, 21], [17, 3, 44, 32, 40], [30, 48, 5, 29, 45], [34, 52, 8, 46], [38, 11, 14, 53]]
5.39s;0.0%;694;[[2, 21, 47, 48, 30], [4], [6, 33, 16, 3, 44, 17], [7, 53, 14, 35, 46], [8, 19, 54, 13, 27, 52, 34], [11, 38, 10, 31], [15, 20, 37, 36, 5, 29, 45], [23, 49, 24, 18, 50, 25, 32], [26, 12, 39, 9, 40], [28, 22, 42, 41, 43, 1, 51]]
4.62s;0.576369%;698;[[1, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [4, 34, 46], [6, 33, 23, 24, 49, 16, 51], [7, 53, 11, 14, 35], [8, 19, 54, 13, 27, 52], [9, 25, 18, 50, 32], [12, 40, 44, 3, 17], [26, 38, 10, 31, 39], [29, 5, 36, 37, 20, 15, 45]]
4.58s;0.576369%;698;[[1, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [4, 34, 46], [6, 33, 23, 24, 49, 16, 51], [7, 53, 11, 14, 35], [8, 19, 54, 13, 27, 52], [9, 25, 18, 50, 32], [12, 40, 44, 3, 17], [15, 20, 37, 36, 5, 29, 45], [26, 38, 10, 31, 39]]
2.92s;0.720461%;699;[[1, 23, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [3, 44, 50, 18, 24, 49, 16], [4, 27, 13, 54, 19, 35, 7], [6, 33, 51], [12, 39, 9, 40, 17], [15, 20, 37, 36, 5, 29, 45], [26, 10, 31, 25, 32], [34, 52, 8, 46], [38, 11, 14, 53]]
3.91s;0.288184%;696;[[1, 43, 42, 41, 23, 16, 51], [2, 28, 22, 33, 6], [4, 34, 46], [7, 53, 11, 14, 35], [9, 25, 50, 18, 24, 49], [12, 39, 31, 10, 38], [15, 20, 37, 36, 47, 21], [17, 3, 44, 32, 40], [26, 8, 19, 54, 13, 27, 52], [30, 48, 5, 29, 45]]
4.77s;0.864553%;700;[[3, 44, 50, 18, 24, 49, 51], [4, 30, 2, 6], [7, 35, 19, 54, 13, 27, 52], [12, 39, 9, 40, 17], [16, 23, 41, 42, 43, 1, 33], [22, 28, 21, 47, 48], [26, 10, 31, 25, 32], [29, 5, 36, 37, 20, 15, 45], [34, 8, 46], [38, 11, 14, 53]]
5.66s;0.720461%;699;[[1, 23, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [3, 44, 50, 18, 24, 49, 16], [4, 27, 13, 54, 19, 35, 7], [6, 33, 51], [12, 39, 9, 40, 17], [15, 20, 37, 36, 5, 29, 45], [26, 10, 31, 25, 32], [34, 52, 8, 46], [38, 11, 14, 53]]
5.18s;0.576369%;698;[[1, 23, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [4, 27, 13, 54, 19, 35, 7], [6, 33, 51], [10, 31, 25, 9, 39], [16, 49, 24, 18, 50, 32], [17, 3, 44, 40, 12, 26], [29, 5, 36, 37, 20, 15, 45], [34, 52, 8, 46], [38, 11, 14, 53]]
3.58s;0.864553%;700;[[3, 44, 50, 18, 24, 49, 16], [4, 30, 2, 6], [7, 35, 19, 54, 13, 27, 52], [12, 39, 9, 40, 17], [15, 20, 37, 36, 5, 29, 45], [22, 28, 21, 47, 48], [26, 10, 31, 25, 32], [33, 1, 43, 42, 41, 23, 51], [34, 8, 46], [38, 11, 14, 53]]
4.66s;0.720461%;699;[[1, 43, 41, 42, 22, 28], [2, 21, 47, 48, 30], [3, 44, 50, 18, 25, 32], [4, 27, 13, 54, 19, 35, 7], [6, 33, 23, 24, 49, 16, 51], [12, 40, 17], [26, 10, 31, 9, 39], [29, 5, 36, 37, 20, 15, 45], [34, 52, 8, 46], [38, 11, 14, 53]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
4.09s;698.87;694;705;0.701249%;0.0%;1.58501%
