elapsed;gap;fitness;solution
0.77s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.37s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.36s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.27s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.25s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 7, 2, 13, 9, 21, 17, 14, 5, 20]]
0.23s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 7, 2, 13, 9, 21, 17, 14, 5, 20]]
0.20s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.19s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.20s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.19s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.21s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.19s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 7, 2, 13, 9, 21, 17, 14, 5, 20]]
0.18s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.17s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.20s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.17s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.19s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.18s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 7, 2, 13, 9, 21, 17, 14, 5, 20]]
0.18s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.18s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.17s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.17s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.17s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 7, 2, 13, 9, 21, 17, 14, 5, 20]]
0.21s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.17s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.17s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.16s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 7, 2, 13, 9, 21, 17, 14, 5, 20]]
0.18s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 7, 2, 13, 9, 21, 17, 14, 5, 20]]
0.16s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]
0.16s;0.0%;216;[[4, 11, 15, 12, 3, 19, 18, 8, 10, 1, 16], [6, 2, 13, 9, 7, 21, 17, 14, 5, 20]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
0.22s;216.00;216;216;0.0%;0.0%;0.0%
