elapsed;gap;fitness;solution
11.37s;1.45103%;839;[[1, 43, 41, 42, 64, 22, 62], [3, 44, 50, 18, 55, 25, 31, 10], [4, 45, 29, 15, 57, 54, 13, 27], [5, 37, 20, 60, 69, 36, 47, 48], [6, 17], [11, 66, 65, 38, 58], [12, 39, 9, 32, 40], [26, 7, 53, 14, 59, 19, 35], [30, 21, 61, 28, 2, 68], [33, 63, 23, 56, 24, 49, 16, 51], [46, 8, 52, 34, 67]]
9.79s;1.57195%;840;[[1, 43, 41, 42, 64, 22, 62], [4, 34, 46, 67], [5, 37, 20, 60, 69, 36, 47, 48], [6, 3, 44, 50, 18, 55, 25, 32], [8, 19, 59, 14, 35, 7, 26], [12, 39, 9, 31, 10, 58], [17, 40], [30, 21, 61, 28, 2, 68], [33, 63, 23, 56, 24, 49, 16, 51], [38, 65, 66, 11, 53], [45, 29, 15, 57, 54, 13, 27, 52]]
9.22s;1.20919%;837;[[2, 62, 28, 61, 21, 47], [3, 44, 50, 18, 55, 25, 31, 10], [4, 45, 29, 15, 57, 13, 54, 19], [5, 37, 20, 60, 69, 36, 48, 30], [6, 1, 43, 41, 42, 64, 22, 68], [7, 53, 11, 58, 12, 26], [17, 32, 9, 39, 40], [27, 52, 8, 46, 34, 67], [33, 63, 23, 56, 24, 49, 16, 51], [35, 14, 59, 66, 65, 38]]
11.43s;1.08827%;836;[[3, 44, 32, 50, 18, 24, 49, 51], [4, 45, 27, 13, 54, 52, 34], [6, 33, 1, 22, 62, 2, 68], [7, 35, 53, 14, 59, 19, 8], [10, 31, 55, 25, 9, 39, 12], [11, 66, 65, 38, 58], [16, 63, 23, 56, 41, 64, 42, 43], [17, 40, 26, 46, 67], [28, 61, 21, 47, 48, 30], [29, 5, 36, 69, 60, 20, 37, 15, 57]]
11.08s;1.08827%;836;[[4, 27, 57, 15, 5, 29, 45, 68], [6, 2, 62, 28, 61, 21], [7, 53, 59, 14, 35, 67], [10, 31, 25, 55, 18, 50, 32], [11, 66, 65, 38, 58], [16, 63, 23, 56, 49, 24, 44, 3, 51], [17, 40, 9, 39, 12, 26], [22, 64, 42, 41, 43, 1, 33], [30, 48, 47, 36, 69, 60, 20, 37], [34, 52, 13, 54, 19, 8, 46]]
17.98s;0.483676%;831;[[1, 43, 42, 64, 41, 56, 23, 63], [2, 21, 69, 36, 47, 48, 30], [4, 45, 27, 52, 34, 46], [6, 33, 62, 22, 61, 28, 68], [7, 35, 53, 14, 59, 19, 8], [11, 66, 65, 38, 58], [16, 49, 24, 18, 50, 32, 17], [26, 10, 31, 55, 25, 9, 39], [29, 5, 37, 60, 20, 15, 57, 13, 54], [51, 3, 44, 40, 12, 67]]
10.38s;1.33011%;838;[[1, 43, 42, 64, 41, 56, 23, 63], [4, 45, 27, 52, 34, 46], [6, 16, 49, 24, 18, 55, 25, 50], [7, 35, 53, 14, 59, 19, 8], [11, 66, 65, 38, 26], [12, 39, 9, 31, 10, 58], [17, 40, 32, 44, 3, 51], [29, 5, 37, 60, 20, 15, 57, 13, 54], [30, 21, 61, 69, 36, 47, 48], [33, 62, 22, 28, 2, 68], [67]]
15.73s;0.725514%;833;[[4, 45, 27, 52, 46, 34], [6, 2, 62, 28, 61, 21], [7, 53, 59, 14, 35, 67], [8, 19, 54, 13, 57, 15, 48, 30, 68], [10, 31, 25, 55, 18, 50, 32], [11, 66, 65, 38, 58], [17, 40, 9, 39, 12, 26], [22, 64, 42, 41, 43, 1, 33], [29, 5, 37, 20, 60, 69, 36, 47], [44, 3, 24, 49, 56, 23, 63, 16, 51]]
7.31s;1.20919%;837;[[1, 43, 42, 64, 41, 56, 23, 63], [2, 28, 61, 22, 62, 33], [3, 44, 50, 18, 24, 49, 16, 6], [4, 29, 5, 47, 48, 30, 68], [7, 35, 14, 59, 19, 54, 52], [13, 57, 15, 37, 20, 60, 36, 69, 21], [17, 40, 9, 39, 12, 26], [38, 65, 66, 11, 53], [45, 27, 8, 46, 34, 67], [51, 32, 25, 55, 31, 10, 58]]
5.38s;1.81378%;842;[[4, 27, 52, 34, 67, 26], [5, 37, 20, 60, 69, 36, 47, 48], [6, 33, 23, 56, 24, 49, 16], [7, 53, 11, 14, 19, 35], [10, 31, 25, 55, 18, 50, 32], [12, 40, 39, 9, 44, 3, 51], [17, 58, 38, 65, 66, 59], [30, 21, 61, 28, 2, 68], [45, 29, 15, 57, 13, 54, 8, 46], [62, 22, 64, 42, 41, 43, 1, 63]]
