elapsed;gap;fitness;solution
3.63s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 23, 30, 40, 29, 43], [19, 24, 5, 21, 32, 42, 37, 33]]
2.18s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 23, 30, 40, 29, 43], [19, 24, 5, 21, 32, 42, 37, 33]]
1.67s;0.533618%;942;[[2, 41, 14, 13, 38, 9, 36, 22], [6, 3, 12, 17, 4, 31], [7, 5, 21, 32, 42, 37, 11, 10, 26], [8, 15, 28, 27, 24, 33, 19], [25, 29, 40, 23, 30, 39], [34, 16, 20, 18, 35, 1, 43]]
1.43s;0.533618%;942;[[2, 41, 14, 13, 38, 9, 36, 22], [6, 3, 12, 17, 4, 31], [7, 5, 21, 32, 42, 37, 11, 10, 26], [8, 15, 28, 27, 24, 33, 19], [25, 29, 40, 23, 30, 39], [34, 16, 20, 18, 35, 1, 43]]
1.91s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 30, 23, 40, 29, 43], [19, 33, 37, 42, 32, 21, 5, 24]]
3.35s;0.213447%;939;[[1, 35, 18, 20, 16, 11, 26, 34], [2, 41, 14, 13, 38, 9, 36, 22], [4, 17, 12, 3, 25, 6], [7, 5, 21, 32, 42, 37, 10, 33, 24], [8, 15, 28, 27, 19, 31], [39, 30, 23, 40, 29, 43]]
1.56s;0.0%;937;[[2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 30, 23, 40, 29, 43], [19, 24, 5, 21, 32, 42, 37, 33], [26, 10, 11, 16, 20, 18, 1, 35]]
2.00s;0.213447%;939;[[1, 35, 18, 20, 16, 11, 26, 34], [2, 41, 14, 13, 38, 9, 36, 22], [4, 17, 12, 3, 25, 6], [7, 5, 21, 32, 42, 37, 10, 33, 24], [19, 27, 28, 15, 8, 31], [39, 30, 23, 40, 29, 43]]
2.26s;0.0%;937;[[2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 23, 30, 40, 29, 43], [19, 33, 37, 42, 32, 21, 5, 24], [26, 10, 11, 16, 20, 18, 1, 35]]
1.67s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 30, 23, 40, 29, 43], [19, 33, 37, 42, 32, 21, 5, 24]]
1.49s;1.06724%;947;[[2, 41, 14, 13, 38, 9, 36], [4, 19, 27, 28, 7, 8], [6, 25, 3, 12, 17, 31], [15, 24, 5, 21, 32, 42, 37, 11, 10, 33], [22, 29, 40, 23, 30, 39, 34], [26, 16, 20, 18, 35, 1, 43]]
2.87s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 30, 23, 40, 29, 43], [19, 33, 37, 42, 32, 21, 5, 24]]
1.34s;0.0%;937;[[2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 30, 23, 40, 29, 43], [19, 24, 5, 21, 32, 42, 37, 33], [26, 10, 11, 16, 20, 18, 1, 35]]
2.01s;0.0%;937;[[2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 23, 30, 40, 29, 43], [19, 24, 5, 21, 32, 42, 37, 33], [26, 10, 11, 16, 20, 18, 1, 35]]
2.38s;0.213447%;939;[[1, 35, 18, 20, 16, 11, 26, 34], [2, 41, 14, 13, 38, 9, 36, 22], [4, 17, 12, 3, 25, 6], [7, 5, 21, 32, 42, 37, 10, 33, 24], [8, 15, 28, 27, 19, 31], [29, 43, 40, 23, 30, 39]]
1.49s;0.213447%;939;[[1, 35, 18, 20, 16, 11, 26, 34], [2, 41, 14, 13, 38, 9, 36, 22], [4, 17, 12, 3, 25, 6], [7, 5, 21, 32, 42, 37, 10, 33, 24], [19, 27, 28, 15, 8, 31], [29, 43, 40, 23, 30, 39]]
2.78s;0.106724%;938;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 8, 31], [15, 24, 5, 21, 32, 42, 37, 33, 19], [17, 23, 30, 40, 43, 29]]
2.96s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 30, 23, 40, 29, 43], [19, 33, 37, 42, 32, 21, 5, 24]]
1.73s;0.533618%;942;[[1, 35, 18, 20, 16, 11, 26, 34], [2, 41, 14, 13, 38, 36, 22], [4, 17, 12, 3, 25, 6], [7, 5, 21, 32, 42, 37, 10, 33, 24], [8, 15, 28, 27, 19, 31], [9, 43, 29, 40, 23, 30, 39]]
2.09s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 30, 23, 40, 29, 43], [19, 24, 5, 21, 32, 42, 37, 33]]
2.19s;0.213447%;939;[[1, 35, 18, 20, 16, 11, 26, 34], [2, 41, 14, 13, 38, 9, 36, 22], [4, 17, 12, 3, 25, 6], [7, 5, 21, 32, 42, 37, 10, 33, 24], [19, 27, 28, 15, 8, 31], [39, 30, 23, 40, 29, 43]]
2.33s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 30, 23, 40, 29, 43], [19, 33, 37, 42, 32, 21, 5, 24]]
1.45s;0.213447%;939;[[1, 35, 18, 20, 16, 11, 26, 34], [2, 41, 14, 13, 38, 9, 36, 22], [4, 17, 12, 3, 25, 6], [7, 5, 21, 32, 42, 37, 10, 33, 24], [19, 27, 28, 15, 8, 31], [29, 43, 40, 23, 30, 39]]
2.55s;0.533618%;942;[[2, 41, 14, 13, 38, 9, 36, 22], [6, 3, 12, 17, 4, 31], [7, 5, 21, 32, 42, 37, 11, 10, 26], [8, 15, 28, 27, 24, 33, 19], [25, 29, 40, 23, 30, 39], [34, 16, 20, 18, 35, 1, 43]]
3.35s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 23, 30, 40, 43, 29], [19, 33, 37, 42, 32, 21, 5, 24]]
1.30s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 23, 30, 40, 29, 43], [19, 24, 5, 21, 32, 42, 37, 33]]
2.70s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 23, 30, 40, 29, 43], [19, 33, 37, 42, 32, 21, 5, 24]]
1.23s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 30, 23, 40, 43, 29], [19, 33, 37, 42, 32, 21, 5, 24]]
0.94s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 23, 30, 40, 29, 43], [19, 24, 5, 21, 32, 42, 37, 33]]
1.67s;0.0%;937;[[1, 35, 18, 20, 16, 11, 10, 26], [2, 41, 14, 13, 38, 9, 36, 22], [4, 34, 39, 12, 3, 25, 6], [7, 28, 27, 15, 8, 31], [17, 23, 30, 40, 43, 29], [19, 24, 5, 21, 32, 42, 37, 33]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
2.08s;938.43;937;947;0.15297%;0.0%;1.06724%
