elapsed;gap;fitness;solution
5.15s;-2.04082%;576;[[2, 28, 21, 36, 47, 48, 30], [4, 27, 52, 34, 46], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 53, 14, 11, 38, 26], [8, 19, 54, 13, 15, 20, 37, 5, 29, 45], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40]]
2.79s;-1.87075%;577;[[2, 28, 21, 47, 36, 37, 20, 15], [4, 45, 29, 5, 48, 30], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 14, 53, 11, 38, 26], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40], [34, 52, 27, 13, 54, 19, 8, 46]]
2.59s;-1.87075%;577;[[2, 28, 21, 47, 36, 37, 20, 15], [4, 45, 29, 5, 48, 30], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 53, 14, 11, 38, 26], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40], [34, 52, 27, 13, 54, 19, 8, 46]]
5.00s;-2.04082%;576;[[2, 28, 21, 36, 47, 48, 30], [4, 27, 52, 34, 46], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 14, 53, 11, 38, 26], [8, 19, 54, 13, 15, 20, 37, 5, 29, 45], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40]]
2.63s;-1.87075%;577;[[2, 28, 21, 47, 36, 37, 20, 15], [4, 45, 29, 5, 48, 30], [6, 33, 1, 22, 42, 41, 43, 23, 16, 51], [7, 35, 53, 14, 11, 38, 26], [10, 31, 25, 50, 18, 24, 49, 3, 44], [12, 39, 9, 32, 40, 17], [34, 52, 27, 13, 54, 19, 8, 46]]
2.19s;-2.04082%;576;[[2, 28, 21, 36, 47, 48, 30], [4, 27, 52, 46, 34], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 14, 53, 11, 38, 26], [8, 19, 54, 13, 15, 20, 37, 5, 29, 45], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40]]
3.63s;-1.87075%;577;[[2, 28, 21, 47, 36, 37, 20, 15], [4, 45, 29, 5, 48, 30], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 53, 14, 11, 38, 26], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40], [34, 52, 27, 13, 54, 19, 8, 46]]
1.55s;-1.70068%;578;[[2, 28, 21, 36, 47, 48, 30], [4, 45, 29, 5, 37, 20, 15, 27], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 14, 53, 11, 38, 26], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40], [34, 52, 13, 54, 19, 8, 46]]
1.61s;-1.70068%;578;[[2, 28, 21, 36, 47, 48, 30], [4, 45, 29, 5, 37, 20, 15, 27], [6, 33, 1, 22, 42, 41, 43, 23, 16, 51], [7, 35, 53, 14, 11, 38, 26], [10, 31, 25, 50, 18, 24, 49, 3, 44], [12, 39, 9, 32, 40, 17], [34, 52, 13, 54, 19, 8, 46]]
2.16s;-2.04082%;576;[[2, 28, 21, 36, 47, 48, 30], [4, 27, 52, 34, 46], [6, 33, 1, 22, 42, 41, 43, 23, 16, 51], [7, 35, 14, 53, 11, 38, 26], [8, 19, 54, 13, 15, 20, 37, 5, 29, 45], [10, 31, 25, 50, 18, 24, 49, 3, 44], [12, 39, 9, 32, 40, 17]]
2.75s;-1.87075%;577;[[2, 28, 21, 47, 36, 37, 20, 15], [4, 45, 29, 5, 48, 30], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 14, 53, 11, 38, 26], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40], [34, 52, 27, 13, 54, 19, 8, 46]]
2.34s;-1.87075%;577;[[2, 28, 21, 47, 36, 37, 20, 15], [4, 45, 29, 5, 48, 30], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 53, 14, 11, 38, 26], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40], [34, 52, 27, 13, 54, 19, 8, 46]]
3.73s;-2.04082%;576;[[2, 28, 21, 36, 47, 48, 30], [4, 27, 52, 34, 46], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 14, 53, 11, 38, 26], [8, 19, 54, 13, 15, 20, 37, 5, 29, 45], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40]]
2.79s;-2.04082%;576;[[2, 28, 21, 36, 47, 48, 30], [4, 27, 52, 34, 46], [6, 33, 1, 22, 42, 41, 43, 23, 16, 51], [7, 35, 53, 14, 11, 38, 26], [8, 19, 54, 13, 15, 20, 37, 5, 29, 45], [10, 31, 25, 50, 18, 24, 49, 3, 44], [12, 39, 9, 32, 40, 17]]
5.48s;-2.04082%;576;[[2, 28, 21, 36, 47, 48, 30], [4, 27, 52, 34, 46], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 14, 53, 11, 38, 26], [8, 19, 54, 13, 15, 20, 37, 5, 29, 45], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40]]
2.44s;-2.04082%;576;[[2, 28, 21, 36, 47, 48, 30], [4, 27, 52, 34, 46], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 14, 53, 11, 38, 26], [8, 19, 54, 13, 15, 20, 37, 5, 29, 45], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40]]
2.16s;-1.87075%;577;[[2, 28, 21, 47, 36, 37, 20, 15], [4, 45, 29, 5, 48, 30], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 53, 14, 11, 38, 26], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40], [34, 52, 27, 13, 54, 19, 8, 46]]
2.84s;-1.87075%;577;[[2, 28, 21, 47, 36, 37, 20, 15], [4, 45, 29, 5, 48, 30], [6, 33, 1, 22, 42, 41, 43, 23, 16], [7, 35, 14, 53, 11, 38, 26], [12, 10, 31, 25, 50, 18, 24, 49, 51], [17, 3, 44, 32, 9, 39, 40], [34, 52, 27, 13, 54, 19, 8, 46]]
