elapsed;gap;fitness;solution
4.80s;-0.316957%;629;[[3, 44, 32, 9, 40], [4, 45, 30, 2, 6], [7, 11, 38, 10, 26], [12, 39, 31, 25, 18, 24, 49], [16, 23, 41, 42, 43, 1, 33], [17], [22, 28, 21, 36, 47, 48], [27, 13, 15, 20, 37, 5, 29], [34, 46, 8, 19, 14, 35]]
2.47s;-0.316957%;629;[[3, 44, 32, 9, 40], [4, 45, 30, 2, 6], [7, 11, 38, 10, 26], [12, 39, 31, 25, 18, 24, 49], [16, 23, 41, 42, 43, 1, 33], [17], [22, 28, 21, 36, 47, 48], [27, 13, 15, 20, 37, 5, 29], [34, 46, 8, 19, 14, 35]]
3.34s;0.0%;631;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [27, 13, 15, 20, 37, 5, 45], [29, 48, 47, 36, 21, 30], [34, 46, 8, 19, 14, 35]]
2.22s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [30, 48, 47, 5, 29, 45], [34, 46, 8, 19, 14, 35]]
2.99s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [30, 48, 47, 5, 29, 45], [34, 46, 8, 19, 14, 35]]
2.54s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [10, 38, 11, 14], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [26, 7, 35, 19, 8, 46, 34], [30, 48, 47, 5, 29, 45]]
2.99s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [30, 48, 47, 5, 29, 45], [34, 46, 8, 19, 14, 35]]
2.05s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [30, 48, 47, 5, 29, 45], [34, 46, 8, 19, 14, 35]]
1.98s;-0.158479%;630;[[3, 44, 32, 9, 40], [4, 30, 2, 6, 17], [7, 11, 38, 10, 12], [16, 49, 24, 18, 25, 31, 39], [23, 43, 41, 42, 22, 1, 33], [26], [27, 13, 15, 20, 37, 36, 5, 29], [28, 21, 47, 48, 45], [34, 46, 8, 19, 14, 35]]
2.75s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [30, 48, 47, 5, 29, 45], [34, 46, 8, 19, 14, 35]]
2.29s;0.158479%;632;[[1, 22, 42, 41, 43, 23, 16, 17], [3, 44, 32, 9, 40], [4], [6, 33, 2, 30], [10, 38, 11, 14], [12, 39, 31, 25, 18, 24, 49], [26, 7, 35, 19, 8, 46, 34], [27, 13, 15, 20, 37, 36, 5, 29], [28, 21, 47, 48, 45]]
2.06s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [30, 48, 47, 5, 29, 45], [34, 46, 8, 19, 14, 35]]
2.14s;-0.316957%;629;[[3, 44, 32, 9, 40], [4, 45, 30, 2, 6], [7, 11, 38, 10, 12], [16, 23, 41, 42, 43, 1, 33], [17, 49, 24, 18, 25, 31, 39], [22, 28, 21, 36, 47, 48], [26], [27, 13, 15, 20, 37, 5, 29], [34, 46, 8, 19, 14, 35]]
1.78s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [30, 48, 47, 5, 29, 45], [34, 46, 8, 19, 14, 35]]
2.09s;0.0%;631;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [27, 13, 15, 20, 37, 36, 5, 29], [30, 21, 47, 48, 45], [34, 46, 8, 19, 14, 35]]
1.58s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [30, 48, 47, 5, 29, 45], [34, 46, 8, 19, 14, 35]]
1.83s;-0.316957%;629;[[3, 44, 32, 9, 40], [4, 45, 30, 2, 6], [10, 38, 11, 14], [12, 39, 31, 25, 18, 24, 49], [16, 23, 41, 42, 43, 1, 33], [17], [22, 28, 21, 36, 47, 48], [26, 7, 35, 19, 8, 46, 34], [27, 13, 15, 20, 37, 5, 29]]
2.42s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [30, 48, 47, 5, 29, 45], [34, 46, 8, 19, 14, 35]]
1.85s;0.0%;631;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [27, 13, 15, 20, 37, 36, 5, 29], [30, 21, 47, 48, 45], [34, 46, 8, 19, 14, 35]]
2.26s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [10, 38, 11, 14], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [26, 7, 35, 19, 8, 46, 34], [30, 48, 47, 5, 29, 45]]
3.35s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [10, 38, 11, 14], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [26, 7, 35, 19, 8, 46, 34], [30, 48, 47, 5, 29, 45]]
2.32s;-0.316957%;629;[[3, 44, 32, 9, 40], [4, 45, 30, 2, 6], [7, 11, 38, 10, 26], [12, 39, 31, 25, 18, 24, 49], [16, 23, 41, 42, 43, 1, 33], [17], [22, 28, 21, 36, 47, 48], [27, 13, 15, 20, 37, 5, 29], [34, 46, 8, 19, 14, 35]]
2.04s;-0.158479%;630;[[1, 43, 42, 41, 23, 24, 49, 16], [2, 28, 22, 33, 6], [3, 44, 18, 25, 31, 39, 12], [4], [7, 11, 38, 10, 26], [17, 32, 9, 40], [21, 36, 37, 20, 15, 13, 27], [30, 48, 47, 5, 29, 45], [34, 46, 8, 19, 14, 35]]
