elapsed;gap;fitness;solution
2.65s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19, 18], [7, 16, 29], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
2.49s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
1.92s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19, 18], [7, 16, 29], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
1.51s;0.0%;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
1.12s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19, 18], [7, 29, 16], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
1.61s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19, 18], [7, 29, 16], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
1.69s;0.0%;909;[[4, 8, 42, 30, 22, 38, 32], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 16, 29], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
1.76s;0.0%;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
2.25s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
1.72s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 16, 29], [10, 23, 11, 32, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
1.67s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19, 18], [7, 29, 16], [10, 23, 11, 32], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
1.53s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
1.80s;0.0%;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
2.14s;0.0%;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19], [7, 29, 16], [15, 33, 43, 31, 27, 35, 20], [18, 11, 23, 10, 32], [25, 28, 3, 12, 1, 40]]
0.70s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 16, 29, 18], [10, 23, 11, 32], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
1.38s;0.0%;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 32, 19], [7, 29, 16], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
1.04s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19, 18], [7, 16, 29], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
2.20s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19, 18], [7, 16, 29], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
2.04s;0.0%;909;[[5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 29, 16], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40], [32, 4, 8, 30, 42, 22, 38]]
1.89s;0.0%;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
1.41s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 16, 29], [15, 33, 43, 31, 27, 35, 20], [18, 11, 23, 10, 32], [25, 28, 3, 12, 1, 40]]
1.37s;0.0%;909;[[4, 8, 42, 30, 22, 38, 32], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 19], [7, 16, 29], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
0.70s;0.0%;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
1.46s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 32, 19], [7, 29, 16], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
1.47s;0.0%;909;[[5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 29, 16], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40], [32, 4, 8, 42, 30, 22, 38]]
1.29s;0.0%;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 35, 27, 31, 43, 33, 20], [25, 28, 3, 12, 1, 40]]
1.61s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
1.38s;0.0%;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 41, 37, 13, 32, 19], [7, 16, 29], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
0.96s;0.0%;909;[[4, 8, 30, 42, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 19], [7, 16, 29, 18], [10, 23, 11, 32], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]
1.76s;0.0%;909;[[4, 8, 42, 30, 22, 38], [5, 17, 2, 36, 14, 39, 24, 26, 9], [6, 21, 34, 37, 41, 13, 32, 19], [7, 29, 16], [10, 23, 11, 18], [15, 33, 43, 31, 27, 35, 20], [25, 28, 3, 12, 1, 40]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
1.62s;909.00;909;909;0.0%;0.0%;0.0%
