elapsed;gap;fitness;solution
1.77s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
0.76s;0.182149%;550;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 6, 18, 13, 14], [9, 7, 19, 20, 34, 29]]
0.69s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 20, 19, 6, 18, 13, 10]]
1.17s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
1.28s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
0.60s;0.182149%;550;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 6, 18, 13, 14], [9, 34, 20, 19, 7, 29]]
1.02s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
0.64s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
0.95s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 20, 19, 6, 18, 13, 10]]
1.08s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
0.80s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 20, 19, 6, 18, 13, 10]]
0.61s;0.182149%;550;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 6, 18, 13, 14], [9, 34, 19, 20, 7, 29]]
0.93s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 21, 24, 33, 2], [3, 28, 4, 35, 17, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
0.80s;0.0%;549;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 14, 7, 29], [9, 34, 19, 20, 6, 18, 13, 10]]
0.75s;0.182149%;550;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 6, 18, 13, 14], [9, 7, 19, 20, 34, 29]]
0.61s;0.182149%;550;[[1, 26, 22, 16, 30, 23, 37, 24, 21, 33, 2], [3, 28, 17, 35, 4, 36, 31], [5, 15, 11, 12, 25, 32, 38, 27], [8, 10, 6, 18, 13, 14], [9, 7, 20, 19, 34, 29]]
