P-n22-k2.out;0.73s;216.00;216;216;0.0%;0.0%;0.0%
P-n22-k8.out;1.50s;590.00;590;590;-2.15589%;-2.15589%;-2.15589%
P-n23-k8.out;1.60s;529.00;529;529;0.0%;0.0%;0.0%
P-n40-k5.out;3.62s;458.00;458;458;0.0%;0.0%;0.0%
P-n45-k5.out;4.39s;510.00;510;510;0.0%;0.0%;0.0%
P-n50-k10.out;6.76s;699.80;697;704;0.545977%;0.143678%;1.14943%
P-n50-k7.out;6.00s;554.30;554;556;0.0541516%;0.0%;0.361011%
P-n50-k8.out;6.63s;630.10;629;631;-0.142631%;-0.316957%;0.0%
P-n51-k10.out;7.45s;747.50;747;749;0.877193%;0.809717%;1.07962%
P-n55-k10.out;8.12s;698.50;695;701;0.648415%;0.144092%;1.00865%
P-n55-k15.out;9.70s;945.50;944;949;-4.39838%;-4.55005%;-4.04449%
P-n55-k7.out;7.08s;570.80;568;575;0.492958%;0.0%;1.23239%
P-n55-k8.out;7.82s;576.60;576;577;-1.93878%;-2.04082%;-1.87075%
P-n60-k10.out;9.52s;748.30;746;752;0.577957%;0.268817%;1.07527%
P-n60-k15.out;11.69s;973.20;969;976;0.53719%;0.103306%;0.826446%
P-n65-k10.out;11.20s;801.00;792;805;1.13636%;0.0%;1.64141%
P-n70-k10.out;13.38s;840.70;832;846;1.65659%;0.604595%;2.29746%
P-n76-k4.out;13.44s;601.90;596;606;1.50084%;0.505902%;2.19224%
P-n76-k5.out;14.06s;632.40;627;637;0.861244%;0.0%;1.5949%
X-n101-k25.out;37.98s;28138.00;28096;28164;1.98253%;1.83031%;2.07676%
X-n120-k6.out;28.19s;13784.33;13780;13790;3.39284%;3.36034%;3.43534%
X-n125-k30.out;61.10s;56912.33;56789;57090;2.47274%;2.25067%;2.79263%
X-n134-k13.out;42.79s;11239.33;11169;11352;2.96201%;2.3177%;3.99414%
X-n148-k46.out;105.80s;44003.33;43892;44073;1.27816%;1.02191%;1.4385%
X-n153-k22.out;102.92s;21780.33;21645;22008;2.64059%;2.00283%;3.71348%
X-n186-k15.out;86.19s;25471.00;25271;25608;5.49182%;4.66349%;6.05923%
X-n270-k35.out;263.75s;36801.00;36707;36978;4.27871%;4.01235%;4.78026%
X-n313-k71.out;485.22s;97310.33;97044;97577;3.4732%;3.19%;3.75675%
X-n336-k84.out;610.54s;143902.33;143688;144320;3.42641%;3.27236%;3.7266%
X-n359-k29.out;358.92s;54851.00;54632;55090;6.49646%;6.07126%;6.96049%
X-n439-k37.out;652.94s;38268.00;38050;38491;5.14631%;4.54733%;5.75903%
X-n459-k26.out;736.37s;26001.33;25898;26088;7.68827%;7.2603%;8.04721%
X-n469-k138.out;1478.39s;230149.33;229736;230965;3.71338%;3.52712%;4.08095%
X-n502-k39.out;720.56s;70626.67;70541;70677;2.01743%;1.89369%;2.09013%
X-n599-k92.out;1852.23s;115242.33;114537;115620;6.2249%;5.57476%;6.57302%
X-n685-k75.out;2291.16s;72795.00;72517;73094;6.64215%;6.23489%;7.08018%
X-n733-k159.out;4083.83s;142586.00;142586;142586;4.65028%;4.65028%;4.65028%
