P-n22-k2.out;0.16s;216.00;216;216;0.0%;0.0%;0.0%
P-n22-k8.out;0.22s;590.00;590;590;-2.15589%;-2.15589%;-2.15589%
P-n23-k8.out;0.28s;529.00;529;529;0.0%;0.0%;0.0%
P-n40-k5.out;0.26s;458.00;458;458;0.0%;0.0%;0.0%
P-n45-k5.out;0.34s;510.00;510;510;0.0%;0.0%;0.0%
P-n50-k10.out;0.50s;701.80;697;706;0.833333%;0.143678%;1.43678%
P-n50-k7.out;0.43s;556.00;554;561;0.361011%;0.0%;1.26354%
P-n50-k8.out;0.48s;629.70;629;630;-0.206022%;-0.316957%;-0.158479%
P-n51-k10.out;0.48s;747.50;747;748;0.877193%;0.809717%;0.944669%
P-n55-k10.out;0.59s;697.70;695;701;0.533141%;0.144092%;1.00865%
P-n55-k15.out;0.59s;946.30;944;949;-4.31749%;-4.55005%;-4.04449%
P-n55-k7.out;0.53s;572.00;568;576;0.704225%;0.0%;1.40845%
P-n55-k8.out;0.46s;578.50;576;583;-1.61565%;-2.04082%;-0.85034%
P-n60-k10.out;0.63s;747.90;745;753;0.524194%;0.134409%;1.20968%
P-n60-k15.out;0.62s;974.00;968;976;0.619835%;0.0%;0.826446%
P-n65-k10.out;0.63s;802.00;792;809;1.26263%;0.0%;2.14646%
P-n70-k10.out;1.00s;833.80;830;838;0.822249%;0.362757%;1.33011%
P-n76-k4.out;0.91s;594.40;593;600;0.236088%;0.0%;1.18044%
P-n76-k5.out;0.85s;629.00;628;633;0.318979%;0.15949%;0.956938%
X-n101-k25.out;2.06s;28055.33;27966;28136;1.68292%;1.35914%;1.97528%
X-n120-k6.out;2.56s;13599.67;13549;13625;2.0077%;1.62766%;2.19772%
X-n125-k30.out;10.23s;56552.67;56335;56939;1.82514%;1.43323%;2.52075%
X-n134-k13.out;7.40s;11045.33;10979;11102;1.18481%;0.577134%;1.70392%
X-n148-k46.out;6.25s;44081.00;43963;44196;1.45691%;1.18532%;1.7216%
X-n153-k22.out;7.59s;21729.67;21514;21859;2.40182%;1.38549%;3.01131%
X-n186-k15.out;13.39s;24824.33;24580;25037;2.81356%;1.80162%;3.69435%
X-n270-k35.out;27.53s;35850.33;35745;36035;1.58492%;1.28645%;2.10819%
X-n313-k71.out;74.46s;96238.33;95679;97128;2.3333%;1.73855%;3.27932%
X-n336-k84.out;108.70s;141478.00;141091;142157;1.68398%;1.40583%;2.17199%
X-n359-k29.out;56.10s;54046.00;53599;54515;4.9335%;4.06562%;5.84409%
X-n439-k37.out;55.98s;36949.67;36867;36993;1.52402%;1.29688%;1.64308%
X-n459-k26.out;113.99s;24956.67;24825;25098;3.36163%;2.81632%;3.94699%
X-n469-k138.out;189.42s;228545.33;226445;230195;2.99057%;2.04408%;3.73396%
X-n502-k39.out;104.52s;70166.33;69936;70341;1.3525%;1.01979%;1.6048%
X-n599-k92.out;207.66s;114285.33;113413;114789;5.34278%;4.53871%;5.80704%
X-n685-k75.out;353.30s;70258.67;69904;70466;2.92651%;2.40694%;3.23025%
X-n733-k159.out;522.47s;139485.00;139090;139814;2.37431%;2.0844%;2.61578%
