P-n21-k2.out;0.17s;211.00;211;211;0.0%;0.0%;0.0%
P-n22-k2.out;0.18s;216.00;216;216;0.0%;0.0%;0.0%
P-n22-k8.out;0.22s;590.00;590;590;-2.15589%;-2.15589%;-2.15589%
P-n23-k8.out;0.23s;532.00;529;534;0.567108%;0.0%;0.94518%
P-n40-k5.out;0.62s;458.00;458;458;0.0%;0.0%;0.0%
P-n45-k5.out;1.35s;510.00;510;510;0.0%;0.0%;0.0%
P-n50-k10.out;1.65s;705.10;701;710;1.30747%;0.718391%;2.01149%
P-n50-k7.out;1.90s;556.30;554;560;0.415162%;0.0%;1.08303%
P-n50-k8.out;1.80s;631.60;630;634;0.0950872%;-0.158479%;0.475436%
P-n51-k10.out;2.53s;748.20;746;752;0.97166%;0.674764%;1.48448%
P-n55-k10.out;3.79s;701.40;696;704;1.06628%;0.288184%;1.44092%
P-n55-k15.out;2.29s;950.30;945;955;-3.91304%;-4.44894%;-3.43782%
P-n55-k7.out;3.09s;573.60;571;576;0.985915%;0.528169%;1.40845%
P-n55-k8.out;1.96s;578.50;577;584;-1.61565%;-1.87075%;-0.680272%
P-n60-k10.out;2.45s;756.50;748;763;1.68011%;0.537634%;2.55376%
P-n60-k15.out;4.34s;977.60;973;980;0.991736%;0.516529%;1.23967%
P-n65-k10.out;4.44s;808.10;804;814;2.03283%;1.51515%;2.77778%
P-n70-k10.out;6.13s;847.80;845;850;2.51511%;2.17654%;2.78114%
P-n76-k4.out;7.37s;603.40;596;610;1.75379%;0.505902%;2.86678%
P-n76-k5.out;6.27s;638.90;633;642;1.89793%;0.956938%;2.39234%
X-n101-k25.out;21.32s;28342.33;28289;28390;2.72311%;2.52981%;2.89587%
X-n120-k6.out;40.83s;13884.33;13820;13934;4.14291%;3.66037%;4.51545%
X-n125-k30.out;60.42s;57207.33;56910;57376;3.0039%;2.46854%;3.30759%
X-n134-k13.out;57.93s;11457.33;11448;11465;4.95908%;4.87358%;5.02931%
X-n148-k46.out;135.19s;44474.00;44388;44591;2.36144%;2.16351%;2.63073%
X-n153-k22.out;129.44s;22358.67;22269;22466;5.36601%;4.94345%;5.87182%
X-n186-k15.out;159.24s;26015.00;25936;26088;7.74487%;7.41768%;8.04721%
X-n270-k35.out;370.45s;37377.33;37316;37408;5.9118%;5.73801%;5.9987%
X-n313-k71.out;478.48s;98281.00;98232;98331;4.50534%;4.45323%;4.5585%
X-n336-k84.out;645.93s;145117.33;144993;145357;4.29966%;4.2103%;4.47192%
X-n359-k29.out;356.51s;55860.33;55647;56068;8.45614%;8.04194%;8.85933%
X-n439-k37.out;1129.40s;38731.67;38668;38765;6.4203%;6.24536%;6.51188%
X-n459-k26.out;1304.83s;26343.00;26301;26427;9.10333%;8.92938%;9.45123%
X-n469-k138.out;1571.59s;232225.67;231933;232453;4.64905%;4.51717%;4.7515%
X-n502-k39.out;1042.91s;70928.00;70873;70973;2.45269%;2.37325%;2.51769%
X-n599-k92.out;2377.55s;117421.67;117387;117455;8.23371%;8.20175%;8.26443%
X-n685-k75.out;3660.12s;73918.00;73889;73956;8.28731%;8.24483%;8.34298%
X-n733-k159.out;5438.13s;144428.67;144333;144554;6.00269%;5.93248%;6.09468%
