elapsed;fitness;solution
24.86s;1035;[[3, 38, 15], [9], [13, 12, 22, 4, 26, 32, 43], [14, 23, 7, 55, 50], [17, 57, 52, 31, 11, 60, 28, 39], [19, 40, 53, 8, 41, 6, 25], [20, 5, 54, 46, 2, 49], [24, 10, 59, 45, 37, 30, 42, 33], [34, 35, 18, 48, 16, 1, 44], [51, 47, 56, 27, 21, 36, 29, 58]]
7.61s;1039;[[3, 38, 15], [9, 51], [13, 17, 57, 52, 31, 60, 28], [14, 23, 7, 55], [19, 40, 8, 53, 6, 20, 25], [24, 10, 59, 45, 37, 30, 42, 33], [34, 48, 18, 16, 1, 11, 44, 39], [35, 47, 56, 21, 36, 29, 27, 58], [41, 5, 54, 46, 2, 49], [43, 32, 26, 4, 22, 12, 50]]
23.60s;1035;[[3, 38, 15], [9], [13, 12, 22, 4, 26, 32, 43], [14, 7, 23, 55, 50], [17, 57, 52, 31, 11, 60, 28, 39], [19, 40, 53, 8, 41, 20], [24, 10, 59, 45, 37, 30, 42, 33], [25, 6, 5, 54, 46, 2, 49], [34, 35, 18, 48, 16, 1, 44], [51, 47, 56, 27, 21, 36, 29, 58]]
19.30s;1037;[[3, 38, 15], [8, 53, 41, 6, 20, 25, 51], [9, 47, 56, 27, 21, 36, 29, 58], [10, 49, 2, 46, 54, 5, 40], [12, 22, 4, 26, 43, 32, 42, 33], [13, 50, 55], [14, 7, 23], [17, 57, 52, 31, 11, 60, 28, 39], [19, 24, 59, 45, 37, 30], [34, 35, 18, 48, 16, 1, 44]]
30.60s;1035;[[3, 38, 15], [9], [13, 12, 22, 4, 26, 32, 43], [14, 7, 23, 55, 50], [17, 57, 52, 31, 11, 60, 28, 39], [19, 40, 53, 8, 6, 20, 25], [24, 10, 59, 45, 37, 30, 42, 33], [34, 35, 18, 48, 16, 1, 44], [41, 5, 54, 46, 2, 49], [51, 47, 56, 27, 21, 36, 29, 58]]
7.76s;1044;[[2, 5, 54, 46, 59, 10, 24], [3, 38, 15], [9, 51], [13, 17, 57, 52, 31, 60, 28], [14, 23, 7, 19], [25, 20, 6, 41, 53, 8, 40], [33, 42, 32, 30, 37, 45, 49], [34, 47, 56, 27, 21, 36, 29, 58], [35, 18, 48, 16, 1, 11, 44, 39], [50, 12, 22, 4, 26, 43, 55]]
29.96s;1038;[[3, 38, 15], [9], [13, 12, 22, 4, 26, 32, 43], [14, 23, 7, 55, 50], [17, 57, 52, 31, 11, 60, 28], [19, 40, 53, 8, 6, 20, 25], [24, 10, 59, 45, 37, 30, 42, 33], [34, 35, 18, 48, 16, 1, 44, 39], [41, 54, 46, 5, 2, 49], [51, 47, 56, 21, 36, 29, 27, 58]]
6.04s;1038;[[3, 38, 15], [9, 51], [13, 17, 57, 52, 31, 60, 28], [14, 23, 7, 55], [19, 40, 8, 53, 41, 6, 25], [20, 5, 54, 46, 2, 49], [24, 10, 59, 45, 37, 30, 42, 33], [34, 47, 56, 27, 21, 36, 29, 58], [35, 18, 48, 16, 1, 11, 44, 39], [43, 32, 26, 4, 22, 12, 50]]
20.25s;1035;[[3, 38, 15], [9], [13, 12, 22, 4, 26, 32, 43], [14, 23, 7, 55, 50], [17, 57, 52, 31, 11, 60, 28, 39], [19, 40, 53, 8, 41, 6, 25], [20, 5, 54, 46, 2, 49], [24, 10, 59, 45, 37, 30, 42, 33], [34, 35, 18, 48, 16, 1, 44], [51, 47, 56, 27, 21, 36, 29, 58]]
12.38s;1044;[[3, 38, 15], [9, 47, 56, 27, 21, 36, 29, 58], [12, 22, 4, 26, 43, 32, 42, 33], [13, 50, 55], [14, 23, 7, 19], [17, 57, 52, 31, 11, 60, 28], [24, 10, 59, 45, 37, 30], [25, 20, 6, 41, 8, 53, 40], [34, 35, 18, 48, 16, 1, 44, 39], [49, 2, 46, 54, 5, 51]]
23.26s;1038;[[3, 38, 15], [7, 30, 59, 49, 10, 24], [9, 47, 56, 27, 21, 36, 29, 58], [12, 22, 4, 26, 43, 32, 42, 33], [13, 50, 55, 14, 23, 19], [17, 57, 52, 31, 11, 60, 28, 39], [34, 35, 18, 48, 16, 1, 44], [37, 45, 46, 54, 5, 2, 40], [51, 25, 20, 6, 41, 8, 53]]
11.65s;1042;[[3, 38, 15], [8, 53, 41, 6, 20, 25, 51], [9, 47, 56, 27, 21, 36, 29, 58], [13, 12, 22, 4, 26, 32, 43], [14, 7, 23, 19], [17, 57, 52, 31, 11, 60, 28], [24, 10, 59, 45, 37, 30, 42, 33], [34, 35, 18, 48, 16, 1, 44, 39], [40, 5, 54, 46, 2, 49], [50, 55]]
15.91s;1037;[[3, 38, 15], [7, 23, 14], [8, 53, 41, 6, 20, 25, 51], [9, 47, 56, 27, 21, 36, 29, 58], [10, 49, 2, 46, 54, 5, 40], [12, 22, 4, 26, 43, 32, 42, 33], [13, 50, 55], [17, 57, 52, 31, 11, 60, 28, 39], [19, 24, 59, 45, 37, 30], [34, 35, 18, 48, 16, 1, 44]]
10.20s;1044;[[3, 38, 15], [9, 19, 23, 7, 14], [10, 59, 45, 37, 30, 42, 33, 55], [13, 12, 22, 4, 26, 32, 43], [17, 44, 1, 16, 48, 18, 35, 34], [20, 6, 41, 5, 54, 46, 2, 40], [24, 49, 8, 53, 25], [39, 28, 60, 11, 31, 52, 57, 50], [51, 47, 56, 27, 21, 36, 29, 58]]
19.56s;1039;[[3, 38, 15], [8, 53, 41, 6, 25, 58], [9, 51, 47, 56, 27, 21, 36, 29, 20], [10, 49, 2, 46, 54, 5, 40], [12, 22, 4, 26, 43, 32, 42, 33], [13, 50], [14, 7, 23, 55], [17, 57, 52, 31, 11, 60, 28, 39], [19, 24, 59, 45, 37, 30], [34, 35, 18, 48, 16, 1, 44]]
19.62s;1038;[[3, 38, 15], [9, 51], [13, 17, 57, 52, 31, 60, 28], [14, 7, 23, 55], [19, 40, 53, 8, 41, 6, 25], [20, 5, 54, 46, 2, 49], [24, 10, 59, 45, 37, 30, 42, 33], [34, 47, 56, 27, 21, 36, 29, 58], [35, 18, 48, 16, 1, 11, 44, 39], [43, 32, 26, 4, 22, 12, 50]]
9.74s;1035;[[3, 38, 15], [9], [13, 12, 22, 4, 26, 32, 43], [14, 23, 7, 55, 50], [17, 57, 52, 31, 11, 60, 28, 39], [19, 40, 8, 53, 41, 6, 25], [20, 5, 54, 46, 2, 49], [24, 10, 59, 45, 37, 30, 42, 33], [34, 35, 18, 48, 16, 1, 44], [51, 47, 56, 27, 21, 36, 29, 58]]
13.53s;1044;[[3, 38, 15], [6, 5, 54, 46, 2, 49], [9, 25, 20, 41, 53, 8, 40], [13, 12, 22, 4, 26, 32, 43], [14, 7, 23, 19], [17, 57, 52, 31, 11, 60, 28], [24, 10, 59, 45, 37, 30, 42, 33], [34, 35, 18, 48, 16, 1, 44, 39], [50, 55], [51, 47, 56, 27, 21, 36, 29, 58]]
25.70s;1035;[[3, 38, 15], [9], [13, 12, 22, 4, 26, 32, 43], [14, 23, 7, 55, 50], [17, 57, 52, 31, 11, 60, 28, 39], [19, 40, 8, 53, 6, 20, 25], [24, 10, 59, 45, 37, 30, 42, 33], [34, 35, 18, 48, 16, 1, 44], [41, 5, 54, 46, 2, 49], [51, 47, 56, 27, 21, 36, 29, 58]]
12.09s;1038;[[3, 38, 15], [9, 51], [13, 17, 57, 52, 31, 60, 28], [14, 23, 7, 55], [19, 40, 53, 8, 41, 6, 25], [20, 5, 54, 46, 2, 49], [24, 10, 59, 45, 37, 30, 42, 33], [34, 47, 56, 27, 21, 36, 29, 58], [35, 18, 48, 16, 1, 11, 44, 39], [43, 32, 26, 4, 22, 12, 50]]

avg_time;avg_ans;best;worst
17.18s;1038.50;1035;1044
